,accuracy,precision,recall,f1_score,auc,true_positive,true_negative,false_positive,false_negative
bert-base-cased_linear-kernel,0.7837837837837838,0.8,0.7719298245614035,0.7857142857142858,0.8784925276153348,44.0,43.0,11.0,13.0
bert-base-cased_poly-kernel,0.6756756756756757,0.64,0.8421052631578947,0.7272727272727272,0.8203378817413906,48.0,27.0,27.0,9.0
bert-base-cased_rbf-kernel,0.8108108108108109,0.8,0.8421052631578947,0.8205128205128205,0.8810916179337231,48.0,42.0,12.0,9.0
bert-base-cased_sigmoid-kernel,0.8018018018018018,0.7692307692307693,0.8771929824561403,0.819672131147541,0.8833658219623133,50.0,39.0,15.0,7.0
bert-base-uncased_linear-kernel,0.7927927927927928,0.765625,0.8596491228070176,0.8099173553719009,0.8749187784275503,49.0,39.0,15.0,8.0
bert-base-uncased_poly-kernel,0.7657657657657657,0.6962025316455697,0.9649122807017544,0.8088235294117647,0.8911630929174789,55.0,30.0,24.0,2.0
bert-base-uncased_rbf-kernel,0.7927927927927928,0.7741935483870968,0.8421052631578947,0.8067226890756302,0.888888888888889,48.0,40.0,14.0,9.0
bert-base-uncased_sigmoid-kernel,0.8198198198198198,0.7681159420289855,0.9298245614035088,0.8412698412698412,0.9074074074074074,53.0,38.0,16.0,4.0
bert-large-cased_linear-kernel,0.7297297297297297,0.7288135593220338,0.7543859649122807,0.7413793103448276,0.8122157244964262,43.0,38.0,16.0,14.0
bert-large-cased_poly-kernel,0.5945945945945946,0.7727272727272727,0.2982456140350877,0.430379746835443,0.8099415204678363,17.0,49.0,5.0,40.0
bert-large-cased_rbf-kernel,0.7837837837837838,0.7538461538461538,0.8596491228070176,0.8032786885245902,0.8641975308641976,49.0,38.0,16.0,8.0
bert-large-cased_sigmoid-kernel,0.7747747747747747,0.7857142857142857,0.7719298245614035,0.7787610619469025,0.8499025341130604,44.0,42.0,12.0,13.0
bert-large-uncased_linear-kernel,0.7747747747747747,0.75,0.8421052631578947,0.7933884297520661,0.8583495776478233,48.0,38.0,16.0,9.0
bert-large-uncased_poly-kernel,0.7477477477477478,0.6746987951807228,0.9824561403508771,0.7999999999999999,0.8346328784925277,56.0,27.0,27.0,1.0
bert-large-uncased_rbf-kernel,0.7477477477477478,0.7377049180327869,0.7894736842105263,0.7627118644067797,0.8768680961663419,45.0,38.0,16.0,12.0
bert-large-uncased_sigmoid-kernel,0.7297297297297297,0.7014925373134329,0.8245614035087719,0.7580645161290324,0.857050032488629,47.0,34.0,20.0,10.0
distilbert-base-cased_linear-kernel,0.7657657657657657,0.7719298245614035,0.7719298245614035,0.7719298245614035,0.8255360623781676,44.0,41.0,13.0,13.0
distilbert-base-cased_poly-kernel,0.6846846846846847,0.6195652173913043,1.0,0.7651006711409396,0.9064327485380117,57.0,19.0,35.0,0.0
distilbert-base-cased_rbf-kernel,0.8378378378378378,0.782608695652174,0.9473684210526315,0.8571428571428571,0.9372969460688759,54.0,39.0,15.0,3.0
distilbert-base-cased_sigmoid-kernel,0.8378378378378378,0.7910447761194029,0.9298245614035088,0.8548387096774193,0.9122807017543859,53.0,40.0,14.0,4.0
distilbert-base-uncased_linear-kernel,0.8198198198198198,0.8245614035087719,0.8245614035087719,0.8245614035087719,0.8979857050032489,47.0,44.0,10.0,10.0
distilbert-base-uncased_poly-kernel,0.7837837837837838,0.7037037037037037,1.0,0.8260869565217391,0.9265756985055231,57.0,30.0,24.0,0.0
distilbert-base-uncased_rbf-kernel,0.9009009009009009,0.8382352941176471,1.0,0.9119999999999999,0.9499675113710202,57.0,43.0,11.0,0.0
distilbert-base-uncased_sigmoid-kernel,0.8918918918918919,0.835820895522388,0.9824561403508771,0.9032258064516129,0.9528914879792073,56.0,43.0,11.0,1.0
roberta-base_linear-kernel,0.7837837837837838,0.7796610169491526,0.8070175438596491,0.7931034482758621,0.8450292397660818,46.0,41.0,13.0,11.0
roberta-base_poly-kernel,0.7117117117117117,0.6436781609195402,0.9824561403508771,0.7777777777777777,0.8856400259909032,56.0,23.0,31.0,1.0
roberta-base_rbf-kernel,0.8198198198198198,0.7846153846153846,0.8947368421052632,0.8360655737704918,0.8921377517868746,51.0,40.0,14.0,6.0
roberta-base_sigmoid-kernel,0.8288288288288288,0.796875,0.8947368421052632,0.8429752066115702,0.8804418453541261,51.0,41.0,13.0,6.0
roberta-large_linear-kernel,0.8108108108108109,0.8103448275862069,0.8245614035087719,0.8173913043478261,0.896361273554256,47.0,43.0,11.0,10.0
roberta-large_poly-kernel,0.6666666666666666,0.6063829787234043,1.0,0.7549668874172186,0.8846653671215075,57.0,17.0,37.0,0.0
roberta-large_rbf-kernel,0.8198198198198198,0.7846153846153846,0.8947368421052632,0.8360655737704918,0.9291747888239117,51.0,40.0,14.0,6.0
roberta-large_sigmoid-kernel,0.7747747747747747,0.7424242424242424,0.8596491228070176,0.7967479674796748,0.884990253411306,49.0,37.0,17.0,8.0
distilroberta-base_linear-kernel,0.7747747747747747,0.7424242424242424,0.8596491228070176,0.7967479674796748,0.8671215074723846,49.0,37.0,17.0,8.0
distilroberta-base_poly-kernel,0.7477477477477478,0.6705882352941176,1.0,0.8028169014084507,0.9005847953216374,57.0,26.0,28.0,0.0
distilroberta-base_rbf-kernel,0.8468468468468469,0.7941176470588235,0.9473684210526315,0.864,0.928849902534113,54.0,40.0,14.0,3.0
distilroberta-base_sigmoid-kernel,0.8648648648648649,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9221897335932423,54.0,42.0,12.0,3.0
facebook/bart-base_linear-kernel,0.7387387387387387,0.7258064516129032,0.7894736842105263,0.7563025210084033,0.8284600389863548,45.0,37.0,17.0,12.0
facebook/bart-base_poly-kernel,0.7567567567567568,0.6973684210526315,0.9298245614035088,0.7969924812030075,0.8317089018843404,53.0,31.0,23.0,4.0
facebook/bart-base_rbf-kernel,0.7927927927927928,0.75,0.8947368421052632,0.816,0.8895386614684861,51.0,37.0,17.0,6.0
facebook/bart-base_sigmoid-kernel,0.8018018018018018,0.7611940298507462,0.8947368421052632,0.8225806451612904,0.8693957115009746,51.0,38.0,16.0,6.0
google/bigbird-roberta-base_linear-kernel,0.7927927927927928,0.7833333333333333,0.8245614035087719,0.8034188034188033,0.8741065627030539,47.0,41.0,13.0,10.0
google/bigbird-roberta-base_poly-kernel,0.7297297297297297,0.6551724137931034,1.0,0.7916666666666666,0.903183885640026,57.0,24.0,30.0,0.0
google/bigbird-roberta-base_rbf-kernel,0.8738738738738738,0.8208955223880597,0.9649122807017544,0.8870967741935484,0.9340480831708902,55.0,42.0,12.0,2.0
google/bigbird-roberta-base_sigmoid-kernel,0.8828828828828829,0.84375,0.9473684210526315,0.8925619834710744,0.9002599090318388,54.0,44.0,10.0,3.0
